数据年月,贸易伙伴编码,贸易伙伴名称,注册地编码,注册地名称,美元
202411,117,约旦,34,安徽省,"983,207"
202411,117,约旦,35,福建省,"3,617"
202411,117,约旦,37,山东省,"793,151"
202411,117,约旦,41,河南省,22
202411,117,约旦,42,湖北省,149
202411,117,约旦,43,湖南省,"35,272"
202411,117,约旦,44,广东省,"1,913,337"
202411,117,约旦,46,海南省,179
202411,117,约旦,51,四川省,"1,789"
202411,117,约旦,61,陕西省,88
202411,118,科威特,11,北京市,"677,303,141"
202411,118,科威特,13,河北省,"400,524"
202411,118,科威特,21,辽宁省,286
202411,118,科威特,31,上海市,"10,204,410"
202411,118,科威特,32,江苏省,"6,553,502"
202411,118,科威特,33,浙江省,"55,148,775"
202411,118,科威特,35,福建省,"6,989,651"
202411,118,科威特,37,山东省,"863,823"
202411,118,科威特,41,河南省,"130,471"
202411,118,科威特,42,湖北省,226
202411,118,科威特,44,广东省,"43,887,539"
202411,118,科威特,45,广西壮族自治区,10
202411,118,科威特,51,四川省,61
202411,118,科威特,53,云南省,"239,701,871"
202411,118,科威特,61,陕西省,26
202411,119,老挝,11,北京市,"77,286,657"
202411,119,老挝,12,天津市,"286,410"
202411,119,老挝,13,河北省,"2,398,336"
202411,119,老挝,14,山西省,"2,122"
202411,119,老挝,21,辽宁省,"768,896"
202411,119,老挝,31,上海市,"43,078,293"
202411,119,老挝,32,江苏省,"1,411,687"
202411,119,老挝,33,浙江省,"12,178,873"
202411,119,老挝,34,安徽省,"90,830"
202411,119,老挝,35,福建省,"3,912,510"
202411,119,老挝,36,江西省,"531,351"
202411,119,老挝,37,山东省,"32,326,585"
202411,119,老挝,41,河南省,"3,931,185"
202411,119,老挝,42,湖北省,"887,613"
202411,119,老挝,43,湖南省,"2,114,262"
202411,119,老挝,44,广东省,"3,145,367"
202411,119,老挝,45,广西壮族自治区,"53,834,729"
202411,119,老挝,50,重庆市,"803,234"
202411,119,老挝,51,四川省,"119,238"
202411,119,老挝,52,贵州省,"1,249,824"
202411,119,老挝,53,云南省,"211,328,894"
202411,119,老挝,61,陕西省,"8,535"
202411,119,老挝,62,甘肃省,"250,974"
202411,119,老挝,65,新疆维吾尔自治区,"112,000"
202411,120,黎巴嫩,11,北京市,"47,411"
202411,120,黎巴嫩,13,河北省,30
202411,120,黎巴嫩,31,上海市,"1,194,551"
202411,120,黎巴嫩,32,江苏省,"20,901"
202411,120,黎巴嫩,33,浙江省,"6,636,596"
202411,120,黎巴嫩,35,福建省,"74,588"
202411,120,黎巴嫩,37,山东省,15
202411,120,黎巴嫩,42,湖北省,225
202411,120,黎巴嫩,44,广东省,"191,278"
202411,120,黎巴嫩,45,广西壮族自治区,"26,036"
202411,120,黎巴嫩,51,四川省,"11,325"
202411,121,中国澳门,11,北京市,"13,720"
202411,121,中国澳门,12,天津市,"463,855"
202411,121,中国澳门,31,上海市,"99,815"
202411,121,中国澳门,32,江苏省,"114,330"
202411,121,中国澳门,33,浙江省,"83,596"
202411,121,中国澳门,37,山东省,940
202411,121,中国澳门,44,广东省,"4,805,220"
202411,121,中国澳门,46,海南省,"70,373"
202411,122,马来西亚,11,北京市,"136,662,761"
202411,122,马来西亚,12,天津市,"86,941,593"
202411,122,马来西亚,13,河北省,"93,421,827"
202411,122,马来西亚,14,山西省,"2,334,074"
202411,122,马来西亚,15,内蒙古自治区,"970,189"
202411,122,马来西亚,21,辽宁省,"416,320,901"
202411,122,马来西亚,22,吉林省,"13,371,469"
202411,122,马来西亚,23,黑龙江省,"1,754,182"
202411,122,马来西亚,31,上海市,"844,385,025"
202411,122,马来西亚,32,江苏省,"995,402,389"
202411,122,马来西亚,33,浙江省,"671,353,420"
202411,122,马来西亚,34,安徽省,"180,193,778"
202411,122,马来西亚,35,福建省,"698,485,467"
202411,122,马来西亚,36,江西省,"28,669,173"
202411,122,马来西亚,37,山东省,"2,525,605,022"
202411,122,马来西亚,41,河南省,"69,181,153"
202411,122,马来西亚,42,湖北省,"137,181,242"
202411,122,马来西亚,43,湖南省,"421,407,870"
202411,122,马来西亚,44,广东省,"1,695,520,521"
202411,122,马来西亚,45,广西壮族自治区,"31,965,571"
202411,122,马来西亚,46,海南省,"37,076,160"
202411,122,马来西亚,50,重庆市,"166,132,590"
202411,122,马来西亚,51,四川省,"150,083,663"
202411,122,马来西亚,52,贵州省,"35,594,851"
202411,122,马来西亚,53,云南省,"6,236,784"
202411,122,马来西亚,61,陕西省,"38,424,413"
202411,122,马来西亚,62,甘肃省,"2,104,909"
202411,122,马来西亚,63,青海省,"984,766"
202411,122,马来西亚,64,宁夏回族自治区,"39,321"
202411,122,马来西亚,65,新疆维吾尔自治区,"54,303"
202411,123,马尔代夫,11,北京市,135
202411,123,马尔代夫,31,上海市,"1,525"
202411,123,马尔代夫,33,浙江省,3
202411,123,马尔代夫,44,广东省,"7,048"
202411,124,蒙古,11,北京市,"61,193,203"
202411,124,蒙古,12,天津市,"25,383,618"
202411,124,蒙古,13,河北省,"2,532,437"
202411,124,蒙古,14,山西省,"25,720,345"
202411,124,蒙古,15,内蒙古自治区,"826,108,156"
202411,124,蒙古,21,辽宁省,"3,269,899"
202411,124,蒙古,22,吉林省,"6,030,185"
202411,124,蒙古,23,黑龙江省,"903,657"
202411,124,蒙古,31,上海市,"28,774,331"
202411,124,蒙古,32,江苏省,"8,400,743"
202411,124,蒙古,33,浙江省,"1,105,286"
202411,124,蒙古,34,安徽省,"6,223,866"
202411,124,蒙古,35,福建省,"77,566,699"
202411,124,蒙古,36,江西省,"2,490,660"
202411,124,蒙古,37,山东省,"9,021,517"
202411,124,蒙古,41,河南省,"8,787,739"
202411,124,蒙古,42,湖北省,"5,969,195"
202411,124,蒙古,43,湖南省,"15,955,367"
202411,124,蒙古,44,广东省,"342,645"
202411,124,蒙古,46,海南省,"22,662,556"
202411,124,蒙古,50,重庆市,"13,885,869"
202411,124,蒙古,51,四川省,"2,012,303"
202411,124,蒙古,61,陕西省,"3,352,521"
202411,124,蒙古,62,甘肃省,"21,358,751"
202411,124,蒙古,65,新疆维吾尔自治区,"31,597,499"
202411,125,尼泊尔,11,北京市,"55,131"
202411,125,尼泊尔,12,天津市,98
202411,125,尼泊尔,13,河北省,"8,250"
202411,125,尼泊尔,21,辽宁省,552
202411,125,尼泊尔,22,吉林省,"1,700"
202411,125,尼泊尔,31,上海市,"343,964"
202411,125,尼泊尔,32,江苏省,"3,867"
202411,125,尼泊尔,33,浙江省,"167,837"
202411,125,尼泊尔,35,福建省,"5,722"
202411,125,尼泊尔,37,山东省,"48,532"
